,agw_id,birth_date,education,election_list,first_name,gender,id,last_name,list_won,party,picture,profile_url,top_id
0,a1d9719d-00bb-4b14-a813-41d3e6a939c7,1957-01-23,Verwaltungsjuristin,Landesliste Niedersachsen,Barbara,female,1,Woltmann,false,CDU,http://www.bundestag.de/blueprint/servlet/image/242052/Hochformat__2x3/177/265/f994edb5537fdeaa975a2075864d39e/Mn/woltmann_barbara_gross.jpg,https://www.abgeordnetenwatch.de/profile/barbara-woltmann,
1,b374691b-ddd5-4c4c-a478-dc15126ccab5,1957-05-12,Projektmanager Soziales,Landesliste Nordrhein-Westfalen,Heinrich,male,2,Zertik,false,CDU,http://www.bundestag.de/blueprint/servlet/image/242056/Hochformat__2x3/177/265/7361382d9759ff5631efaa03bb2c850f/Rf/zertik_heinrich_gross.jpg,https://www.abgeordnetenwatch.de/profile/heinrich-zertik,
2,f38edddc-7008-4dcd-8365-66a3edc0627d,1957-10-22,Geschäftsführerin,Landesliste Baden-Württemberg,Kordula,female,3,Kovac,false,CDU,http://www.bundestag.de/blueprint/servlet/image/242596/Hochformat__2x3/177/265/9cc4065d993ec8e29006db1303ec772f/Yw/kovac_kordula_gross.jpg,https://www.abgeordnetenwatch.de/profile/kordula-kovac,
3,353fc716-0dfd-41e5-a1ed-43ce20d85aae,1973-10-09,"Studium der Germanistik, Geographie",Landesliste Bayern,Astrid,female,4,Freudenstein,false,CSU,http://www.bundestag.de/blueprint/servlet/image/242034/Hochformat__2x3/177/265/497335789f75f6dcff83a60aef54b0f4/Jf/freudenstein_astrid_gross.jpg,https://www.abgeordnetenwatch.de/profile/dr-astrid-freudenstein,
4,353fc716-0dfd-41e5-a1ed-43ce20d85aae,1984-09-07,Angestellter,Landesliste Bayern,Julia,female,5,Obermeier,false,CSU,http://www.bundestag.de/blueprint/servlet/image/240824/Hochformat__2x3/177/265/a97a48cec4611bb822c1556ef64bf045/qA/obermeier_julia_gross.jpg,https://www.abgeordnetenwatch.de/profile/julia-obermeier,
5,353fc716-0dfd-41e5-a1ed-43ce20d85aae,1960-07-21,"Industriekauffrau, Speditionskauffrau - derzeit kfm. Koordinatorin",Landesliste Bayern,Gudrun,female,6,Zollner,false,CSU,http://www.bundestag.de/blueprint/servlet/image/241816/Hochformat__2x3/177/265/a00f27fee9ecf63acfbc3940e35def7/kp/zollner_gudrun_gross.jpg,https://www.abgeordnetenwatch.de/profile/gudrun-anna-therese-zollner,
6,a7b80e32-4f8d-4543-a18c-a6e28e4ca819,1962-07-12,Diakonin,Landesliste Saarland,Heidtrud,female,7,Henn,false,SPD,http://www.bundestag.de/blueprint/servlet/image/242064/Hochformat__2x3/177/265/9aab2ce1e086fba63fa304e26c4e5ecb/al/henn_heidtrud_gross.jpg,https://www.abgeordnetenwatch.de/profile/heidtrud-henn,
7,f38edddc-7008-4dcd-8365-66a3edc0627d,1945-04-03,Lehrer (in Pension),Landesliste Baden-Württemberg,Heinz,male,8,Wiese,false,CDU,http://www.bundestag.de/blueprint/servlet/image/241814/Hochformat__2x3/177/265/8ad407a2dedeb8983a0bba2507de91ac/tX/wiese_heinz_gross.jpg,https://www.abgeordnetenwatch.de/profile/heinz-wiese,
8,f38edddc-7008-4dcd-8365-66a3edc0627d,1956-07-02,Industriekauffrau,Landesliste Baden-Württemberg,Gabriele,female,9,Schmidt,false,CDU,http://www.bundestag.de/blueprint/servlet/image/242054/Hochformat__2x3/177/265/4703ef2dc74b19639b06cbd8d3024419/gd/schmidt_gabriele_gross.jpg,https://www.abgeordnetenwatch.de/profile/gabriele-schmidt,
9,f38edddc-7008-4dcd-8365-66a3edc0627d,1979-05-15,Rechtsanwältin,Landesliste Baden-Württemberg,Nina,female,10,Warken,false,CDU,http://www.bundestag.de/blueprint/servlet/image/242008/Hochformat__2x3/177/265/15543817925807dd4f264aaefb117c5c/ty/warken_nina_gross.jpg,https://www.abgeordnetenwatch.de/profile/nina-warken,
10,f38edddc-7008-4dcd-8365-66a3edc0627d,1967-09-25,Diplom Finanzwirt (FH) - Angestellte,Landesliste Baden-Württemberg,Margaret,female,11,Horb,false,CDU,http://www.bundestag.de/blueprint/servlet/image/241116/Hochformat__2x3/177/265/59e9b20a637859cab4ffed3879d0cf53/Gh/horb_margaret_gross.jpg,https://www.abgeordnetenwatch.de/profile/margaret-horb,
11,353fc716-0dfd-41e5-a1ed-43ce20d85aae,1965-05-14,Rechtsanwalt,Landesliste Bayern,Bernd-Bernhard,male,12,Fabritius,false,CSU,http://www.bundestag.de/blueprint/servlet/image/240936/Hochformat__2x3/177/265/881b85668fe7a3f0c6331e205ee7c0a9/zA/fabritius_bernd_gross.jpg,https://www.abgeordnetenwatch.de/profile/dr-bernd-bernhard-fabritius,
12,353fc716-0dfd-41e5-a1ed-43ce20d85aae,1953-10-15,Diplom-Verwaltungswirt (FH),Landesliste Bayern,Reiner,male,13,Meier,false,CSU,http://www.bundestag.de/blueprint/servlet/image/241356/Hochformat__2x3/177/265/c98219c3b951f66c09056a78a47c6014/iE/meier_reiner_gross.jpg,https://www.abgeordnetenwatch.de/profile/reiner-meier,
13,353fc716-0dfd-41e5-a1ed-43ce20d85aae,1954-12-22,Dipl. -Sozialpädagogin (FH) / Angestellte,Landesliste Bayern,Barbara,female,14,Lanzinger,false,CSU,http://www.bundestag.de/blueprint/servlet/image/241876/Hochformat__2x3/177/265/8494e5c59646a9dfc6473787ec5bdde4/Dg/lanzinger_barbara_gross.jpg,https://www.abgeordnetenwatch.de/profile/barbara-lanzinger,
14,353fc716-0dfd-41e5-a1ed-43ce20d85aae,1983-11-20,Diplom-Politologin,Landesliste Bayern,Katrin,female,15,Albsteiger,false,CSU,http://www.bundestag.de/blueprint/servlet/image/240732/Hochformat__2x3/177/265/d5ea814227e88f49a525e257aceb0133/lQ/albsteiger_katrin_gross.jpg,https://www.abgeordnetenwatch.de/profile/katrin-albsteiger,
15,8c02b35b-57eb-4d22-9ea8-daa6bae7c698,1954-01-22,Diplom-Ingenieurin,Landesliste Schleswig-Holstein,Valerie,female,16,Wilms,false,DIE GRÜNEN,http://www.bundestag.de/blueprint/servlet/image/241800/Hochformat__2x3/177/265/9595d93c9eccd2563b92876171d032e3/gs/wilms_valerie_gross.jpg,https://www.abgeordnetenwatch.de/profile/valerie-wilms,
16,c6197a70-52a4-46d4-9686-255cddb2caac,1949-01-05,Kaufmännischer Angestellter,Landesliste Hessen,Peter,male,17,Wichtel,true,CDU,http://www.bundestag.de/blueprint/servlet/image/241794/Hochformat__2x3/177/265/10b6e4ba09b3267b0316b959fd3f495c/vx/wichtel_heinz_peter_gross.jpg,https://www.abgeordnetenwatch.de/profile/peter-wichtel,
17,1d334009-d2fd-4912-a7ff-6c2029205fbf,1973-07-17,Juristin,Landesliste Berlin,Halina,female,18,Wawzyniak,false,DIE LINKE,http://www.bundestag.de/blueprint/servlet/image/241804/Hochformat__2x3/177/265/1df6bc5a1d9c8f2887c79b926aee81bb/DB/wawzyniak_halina_gross.jpg,https://www.abgeordnetenwatch.de/profile/halina-wawzyniak,
18,f38edddc-7008-4dcd-8365-66a3edc0627d,1962-08-03,Verleger,Landesliste Baden-Württemberg,Matern von,male,19,Marschall,true,CDU,http://www.bundestag.de/blueprint/servlet/image/241744/Hochformat__2x3/177/265/7b70a0de9f99ac4c91fe34ec1193bd98/Pf/von_marschall_matern_gross.jpg,https://www.abgeordnetenwatch.de/profile/matern-von-marschall,
19,2b78e287-b0bd-4432-bf1a-66c44d3a685c,1961-05-01,Biologe,Landesliste Hamburg,Jan,male,20,van Aken,false,DIE LINKE,http://www.bundestag.de/blueprint/servlet/image/240714/Hochformat__2x3/177/265/83abda4f387877a2b5eeedbfd81e8eba/Yc/aken_jan_gross.jpg,https://www.abgeordnetenwatch.de/profile/jan-van-aken,
20,1d334009-d2fd-4912-a7ff-6c2029205fbf,1950-01-01,Migrantenbeauftragte a.D.,Landesliste Berlin,Azize,female,21,Tank,false,DIE LINKE,http://www.bundestag.de/blueprint/servlet/image/242040/Hochformat__2x3/177/265/7177384ebbfa49f4c10e2518573974a0/iU/tank_azize_gross.jpg,https://www.abgeordnetenwatch.de/profile/azize-tank,
21,71f8196b-d4ce-4624-879a-47e92523adef,1952-05-10,"Chemiefacharbeiterin, Verwaltungsfachwirtin",Landesliste Thüringen,Carola,female,22,Stauche,true,CDU,http://www.bundestag.de/blueprint/servlet/image/241556/Hochformat__2x3/177/265/200021bf10b0edc60799776f8b4de33b/nk/stauche_carola_gross.jpg,https://www.abgeordnetenwatch.de/profile/carola-stauche,
