,id,profile_url,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
0,729580,https://www.abgeordnetenwatch.de/profile/norbert-lammert,0,200,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,1754,,"Nehmen Sie bitte Platz. Die Sitzung ist eröffnet.

Liebe Kolleginnen und Kollegen, ich begrüße Sie herzlich zu unserer 200. Sitzung. Ich hoffe, dass der Jubiläumscharakter dieser Plenarsitzung mindestens die Stimmung fördert, vielleicht auch die Tonlage besonders freundlich stimmt.

Der Ältestenrat hat sich in seiner gestrigen Sitzung darauf verständigt, während der Haushaltsberatungen, die wir in unserer nächsten Sitzungswoche abschließend durchführen, wie in den Haushaltswochen üblich, keine Befragung der Bundesregierung, keine Fragestunde und auch keine Aktuellen Stunden durchzuführen. Als Präsenztage sind die Tage von Montag, den 21. November 2016, bis Freitag, den 25. November 2016, festgelegt worden. Ich vermute, dass Sie alle damit einverstanden sind. - Ich stelle das hiermit fest. Damit ist auch der Ablauf der Haushaltswoche gesichert.

Ich rufe den Tagesordnungspunkt 36 auf:

Dritte Beratung des von der Bundesregierung eingebrachten Entwurfs eines Vierten Gesetzes zur Änderung arzneimittelrechtlicher und anderer Vorschriften

Drucksachen 18/8034, 18/8333, 18/8461 Nr. 1.5, 18/10280

Beschlussempfehlung und Bericht des Ausschusses für Gesundheit (14. Ausschuss)

Drucksache 18/10056

Hierzu liegt ein Entschließungsantrag der Fraktion Bündnis 90/Die Grünen vor.

Über den Gesetzentwurf der Bundesregierung werden wir nachher namentlich abstimmen. Die in der zweiten Beratung am vergangenen Mittwoch beschlossenen Änderungen des Gesetzentwurfs der Bundesregierung können Sie der Zusammenstellung in der Drucksache 18/10280 entnehmen.

Nach einer interfraktionellen Vereinbarung sind für die Aussprache 38 Minuten vorgesehen. - Auch dazu höre ich keinen Widerspruch, also können wir so verfahren. Auf diesem Wege mache ich zumindest akustisch den größeren Teil der Kolleginnen und Kollegen, der noch nicht im Plenum ist, über die Lautsprecher in den Büros vorsichtshalber darauf aufmerksam, dass wir etwa gegen 9.40 Uhr die namentliche Abstimmung durchführen werden.

Ich eröffne die Aussprache und erteile das Wort der Kollegin Maria Michalk für die CDU/CSU-Fraktion.",TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,chair,18
1,729581,,1,200,,,,,,Beifall bei der CDU/CSU und der SPD,TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,poi,18
2,729582,https://www.abgeordnetenwatch.de/profile/maria-michalk,2,200,Maria Michalk (CDU/CSU),Maria Michalk,maria-michalk,1727,cducsu,"Schönen guten Morgen, Herr Präsident! Liebe Kolleginnen und Kollegen! Es ist mir eine besondere Ehre, in dieser 200. Sitzung die erste Rede halten zu dürfen. Ich erinnere daran, dass wir Christen heute, am 11.11., den Martinstag begehen. Da sind Teilen und Nächstenliebe in unserem Kopf und in unseren Ohren, und mit diesem Duktus möchte ich gern jetzt meine Rede halten.",TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,speech,18
3,729583,https://www.abgeordnetenwatch.de/profile/tino-sorge/archive/214586,3,200,Tino Sorge [CDU/CSU],Tino Sorge,tino-sorge,1382,cducsu,Und in unseren Herzen!,TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,poi,18
4,729584,https://www.abgeordnetenwatch.de/profile/maria-michalk,4,200,Maria Michalk (CDU/CSU),Maria Michalk,maria-michalk,1727,cducsu,"- In den Herzen sowieso, lieber Kollege Tino Sorge. - Ich glaube, es ist wichtig, mit diesem Duktus die dritte Lesung zu einem Gesetz zu beginnen, nämlich, kurz gesagt, der vierten AMG-Novelle, die viele Dinge beinhaltet, die uns in der zweiten Lesung sehr stark beschäftigt haben, aber auch Einzelregelungen für den Arzneimittelmarkt und die Gesundheitspolitik insgesamt, auf die ich dann kurz eingehen möchte.

Es ist wichtig, festzustellen, dass wir uns gerade für dieses Gesetz, das die Umsetzung einer EU-Verordnung darstellt, sehr viel Zeit genommen haben, uns intensivste Beratungen - inhaltlich, auch zeitlich - genehmigt haben; das war wichtig und richtig. Deshalb liegt uns heute eine Beschlussempfehlung vor, über die wir namentlich abstimmen werden. Als Christin werde ich ihr guten Gewissens zustimmen; das sage ich gleich am Anfang.

Uns ist wichtig, zu sagen, dass es ein nicht alltäglich vorkommendes Verfahren ist; denn in der Regel haben wir die zweite und dritte Lesung in einem Block. Insofern finde ich es unfair, wenn immer noch laut gesagt wird, dieses Gesetz sei nicht ordentlich beraten worden.",TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,speech,18
5,729585,https://www.abgeordnetenwatch.de/profile/kordula-schulz-asche/archive/215215,5,200,Kordula Schulz-Asche [BÜNDNIS 90/DIE GRÜNEN],Kordula Schulz-Asche,kordula-schulz-asche,1387,gruene,Wer sagt das denn?,TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,poi,18
6,729586,https://www.abgeordnetenwatch.de/profile/maria-michalk,6,200,Maria Michalk (CDU/CSU),Maria Michalk,maria-michalk,1727,cducsu,"Ich stelle fest: Das kann von denjenigen im Parlament, die bei diesem Prozess dabei waren, niemand behaupten.",TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,speech,18
7,729587,,7,200,,,,,,Beifall bei der CDU/CSU,TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,poi,18
8,729588,https://www.abgeordnetenwatch.de/profile/maria-michalk,8,200,Maria Michalk (CDU/CSU),Maria Michalk,maria-michalk,1727,cducsu,"Die Regeln in diesem Gesetz umfassen unter anderem Vorgaben aus der EU-Verordnung, deren Umsetzung notwendig ist; denn wenn wir sie nicht geregelt hätten, griffe sofort die EU-Verordnung durch, und das würde unseren Standards, vor allen Dingen unseren ethischen Standards, nicht entsprechen. Wir sind eines der wenigen Länder der Europäischen Union, die dieses Recht wahrnehmen.

Ich möchte Ihnen aber trotzdem in Erinnerung rufen, dass in diesem Gesetz ganz wichtige Dinge enthalten sind, zum Beispiel die Regelung des Status des Apothekers; das stellen wir klar. Die Änderung der Bundes-Apothekerordnung, also im Grunde genommen der Berufsordnung, die klare Vorgaben vorsieht, ist Bestandteil dieses Gesetzes. Das ist gerade in dieser Zeit ganz wichtig.

Ich möchte auch darauf hinweisen: Wir haben mit Änderungen an mehreren anderen Gesetzen die Telemedizin, die Nutzung von elektronischen Kommunikationsmöglichkeiten, erlaubt und geregelt. Aber - das ist uns mit Blick auf die Zukunft wichtig - in diesem Gesetz legen wir unter anderem auch fest, dass die Verschreibung und die Abgabe von verschreibungspflichtigen Arzneimitteln nur möglich sind, wenn zuvor wenigstens ein erster Arzt-Patienten-Kontakt stattgefunden hat. Es ist uns wichtig, diese Vertrauensbasis zwischen Patienten und Arzt in den Mittelpunkt zu stellen. Ansonsten können die Möglichkeiten der modernen Kommunikation genutzt werden. Ich will aber auch darauf hinweisen, dass Teleshopping und auch das Werben für Teleshopping in Deutschland nicht gewünscht, nicht erlaubt sind.

Wir haben im parlamentarischen Verfahren besonders geregelt, welche Maßnahmen im Falle von gefälschten Arzneimitteln ergriffen werden müssen - wir denken immer, das käme nicht vor, aber es kommt leider doch immer wieder vor -, und sehen ein klares Rückgriffsrecht und Verfolgungsrecht vor. Auch das ist Bestandteil des Gesetzes.

In dem Gesetz wird noch einmal klargestellt, wie das Verhältnis der Arbeit der Ethikkommissionen ist. Wir haben die Bundesbehörden, und wir haben die Landesethikkommissionen, die in einem Stufenverfahren miteinander in Abstimmung stehen. Wir regeln auch, dass von den drei Ärzten, die in diesen Ethikkommissionen sein müssen, mindestens einer ist, der sich mit toxikologischen Dingen auskennt, und mindestens einer ist, der Erfahrung in klinischer Forschung hat. Das ist deshalb wichtig, weil der Kern dieses Gesetzes ja darauf abzielt: Unter welchen Voraussetzungen sind klinische Forschungen an nicht einwilligungsfähigen Personen, die keinen eigenen Nutzen davon haben, möglich? Einerseits wollen wir und schaffen wir jetzt ganz strenge Verfahren und Mechanismen, unter welchen Voraussetzungen das in Deutschland ermöglicht wird.

Ich füge hinzu: Uns als Union ist es wichtig, dass auch in Deutschland für Krankheiten, die wir heute kennen, aber auch für Krankheiten, die heute in unseren Köpfen noch nicht so präsent sind, für Stadien, die sich später entwickeln - es ist nicht nur die Demenzerkrankung, die im späten Stadium in unterschiedlichen Formen auftritt; es sind auch andere Krankheiten -, Medikamente gefunden werden, die für die betroffenen Menschen eine Heilung oder eine Leidlinderung ermöglichen.

Ich bin immer wieder beeindruckt, wenn Menschen sagen: Ich habe Angehörige zu Hause oder Freunde, die ganz schwer erkrankt sind und die in diesen Situationen der Demenz auch das Umfeld beeinflussen; sie leben ja in ihrer eigenen Welt. Viele sagen: Ich möchte, dass dafür geforscht wird, damit die Krankheit abgewendet werden kann, die Menschen geheilt werden oder zumindest die Symptome behandelt werden können, damit die Krankheit einen menschlicheren Verlauf hat. Das ist uns wichtig.",TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,speech,18
9,729589,,9,200,,,,,,Beifall bei der CDU/CSU sowie bei Abgeordneten der SPD,TOP 36 Arzneimittelrechtliche Vorschriften (3. Lesung),15074,poi,18
