,id,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
0,212442,0,121,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Nehmen Sie bitte Platz. Die Sitzung ist eröffnet.

Guten Morgen, liebe Kolleginnen und Kollegen! Ich begrüße Sie herzlich.

Bevor wir unsere Haushaltsdebatte fortsetzen, möchte ich den Kollegen Volker Mosblech als neues Mitglied im Deutschen Bundestag begrüßen, der für den verstorbenen Kollegen Philipp Mißfelder nachgerückt ist. Ich begrüße Sie herzlich, und wir freuen uns auf die Zusammenarbeit.",TOP 1 Epl 09 Wirtschaft und Energie,2296,chair,18
1,212443,1,121,,,,,,Beifall,TOP 1 Epl 09 Wirtschaft und Energie,2296,poi,18
2,212444,2,121,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Wir müssen noch eine Wahl durchführen. Für den aus dem Kuratorium der Bundesstiftung Magnus ­Hirschfeld als ordentliches Mitglied ausscheidenden Kollegen Jens Spahn soll das bisherige stellvertretende Mitglied Dr. Jan-Marco Luczak als ordentliches Mitglied gewählt und als dessen Nachfolger der Kollege Matthias Hauer als persönliches stellvertretendes Mitglied berufen werden. Sind Sie damit einverstanden? - Das ist offensichtlich der Fall. Dann sind die beiden gerade genannten Kollegen Luczak und Hauer in ihrer jeweiligen Funktion als Mitglieder des Kuratoriums gewählt.

Interfraktionell ist vereinbart worden, die verbundene Tagesordnung um den in der Zusatzpunktliste aufgeführten Punkt zu erweitern:

ZP 1	Weitere Überweisung im vereinfachten Verfahren",TOP 1 Epl 09 Wirtschaft und Energie,2296,chair,18
3,212445,3,121,,,,,,Ergänzung zu TOP 2,TOP 1 Epl 09 Wirtschaft und Energie,2296,poi,18
4,212446,4,121,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zu dem Luftverkehrsabkommen vom 16. und 21. Juni 2011 zwischen den Vereinigten Staaten von Amerika als erster Partei, der Europäischen Union und ihren Mitgliedstaaten als zweiter Partei, Island als dritter Partei und dem Königreich Norwegen als vierter Partei und zu dem Zusatzabkommen vom 16. und 21. Juni 2011 zwischen der Europäischen Union und ihren Mitgliedstaaten als erster Partei, Island als zweiter Partei und dem Königreich Norwegen als dritter Partei, betreffend die Anwendung des Luftverkehrsabkommens vom 16. und 21. Juni 2011

Drucksache 18/5580

Überweisungsvorschlag:

A. f. Verkehr und digitale Infrastruktur

Schließlich mache ich auf eine nachträgliche Ausschussüberweisung im Anhang zur Zusatzpunktliste aufmerksam:

Die am 3. Juli 2015 gemäß § 80 Absatz 3 der Geschäftsordnung überwiesene nachfolgende Unterrichtung soll zusätzlich dem Ausschuss für Gesundheit (14. Ausschuss) zur Mitberatung überwiesen werden:

Unterrichtung durch die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit

Tätigkeitsbericht 2013 und 2014 der Bundesbeauftragten für den Datenschutz und die Informationsfreiheit

- 25. Tätigkeitsbericht -

Drucksache 18/5300

Überweisungsvorschlag:

Innenausschuss (f)

Sportausschuss

A. f. Recht und Verbraucherschutz

Finanzausschuss

A. f. Ernährung und Landwirtschaft

Verteidigungsausschuss

A. f. Familie, Senioren, Frauen und Jugend

A. f. Gesundheit

A. f. Verkehr und digitale Infrastruktur

A. f. Menschenrechte und humanitäre Hilfe

A. f. Tourismus

A. f. Kultur und Medien

Ausschuss Digitale Agenda

Ich möchte auch hier fragen, ob es Widerspruch gibt. - Das ist nicht der Fall. Dann verfahren wir so.

Wir setzen die Haushaltsberatungen - Tagesordnungspunkt 1 - fort:

a) Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2016 (Haushaltsgesetz 2016)

Drucksache 18/5500

Überweisungsvorschlag:

Haushaltsausschuss

b)	Beratung der Unterrichtung durch die Bundesregierung

Finanzplan des Bundes 2015 bis 2019

Drucksache 18/5501

Überweisungsvorschlag:

Haushaltsausschuss

Wir haben am Dienstag für die heutige Aussprache eine Redezeit von insgesamt achteinhalb Stunden beschlossen.

Wir beginnen mit dem Geschäftsbereich des Bundesministeriums für Wirtschaft und Energie, Einzelplan 09.

Das Wort hat der Bundeswirtschaftsminister Sigmar Gabriel.",TOP 1 Epl 09 Wirtschaft und Energie,2296,chair,18
5,212447,5,121,,,,,,Beifall bei der SPD und der CDU/CSU,TOP 1 Epl 09 Wirtschaft und Energie,2296,poi,18
6,212448,6,121,"Sigmar Gabriel, Bundesminister für Wirtschaft und Energie",Sigmar Gabriel,sigmar-gabriel,562.0,,"Sehr geehrter Herr Präsident! Meine Damen und Herren! Wenn wir in dieser Woche den Bundeshaushalt 2016 beraten, dann sind die Gedanken aller hier im Parlament und die Gedanken derjenigen, die uns beobachten, nicht nur bei diesem Zahlenwerk, sondern bei der vermutlich größten nationalen und europäischen Herausforderung seit der Wiedervereinigung: 800 000 Menschen suchen Sicherheit und Lebensperspektive hier bei uns in Deutschland; Millionen Menschen sind auf der Flucht, so viele wie nie zuvor; Hunderttausende davon setzen ihre Hoffnung auf uns und rufen nach Aufnahme in Deutschland.

Alle Routine ist verschwunden. Zahl und Wucht dieser Menschenflucht haben wahrhaft historische Dimensionen. Angesichts dieser großen Herausforderung kann man schon sagen: Selten hat Deutschland so zusammengestanden wie jetzt. Das tut uns gut, und das tut den Flüchtlingen gut.",TOP 1 Epl 09 Wirtschaft und Energie,2296,speech,18
7,212449,7,121,,,,,,Beifall bei der SPD und der CDU/CSU sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN,TOP 1 Epl 09 Wirtschaft und Energie,2296,poi,18
8,212450,8,121,"Sigmar Gabriel, Bundesminister für Wirtschaft und Energie",Sigmar Gabriel,sigmar-gabriel,562.0,,"Denen, die Menschen in Not helfen, möchte ich, wie Sie sicherlich alle auch, nicht nur Respekt ausdrücken, sondern vor allen Dingen danken. Das gilt aber auch - auch das darf man einmal sagen - für die Angehörigen unseres öffentlichen Dienstes. Ich finde, die Arbeit von Angestellten und Beamten des öffentlichen Dienstes widerlegt in diesen Tagen und Wochen alle Vorurteile, die es ihnen gegenüber gelegentlich gibt.",TOP 1 Epl 09 Wirtschaft und Energie,2296,speech,18
9,212451,9,121,,,,,,"Beifall bei der SPD, der CDU/CSU und dem BÜNDNIS 90/DIE GRÜNEN",TOP 1 Epl 09 Wirtschaft und Energie,2296,poi,18
